tag,8740_val,8742_val,8743_val,8744_val,8740,8742,8743,8744,#pos
Mb0511_278,0.0735,0.081,0.0665,0.003,-,-,-,-,0
Mb0511_279,0.0525,0.2375,0.183,-0.01,-,positive,positive,-,2
Mb0511_280,0.0945,0.067,0.089,-0.0105,-,-,-,-,0
Mb0595c_196,0.047,0.0565,0.064,-0.006,-,-,-,-,0
Mb0595c_197,0.048,0.0505,0.056,0.535,-,-,-,positive,1
Mb0674_217,0.0495,0.052,0.0655,-0.0065,-,-,-,-,0
Mb0674_218,0.0515,0.1575,0.06,-0.0115,-,positive,-,-,1
Mb0674_219,0.0455,0.052,0.054,-0.014,-,-,-,-,0
Mb0674_220,0.6535,1.8655,2.324,0.1085,positive,positive,positive,positive,4
Mb0674_221,0.045,0.0895,0.069,-0.0005,-,-,-,-,0
Mb0674_222,0.049,0.0545,0.071,-0.008,-,-,-,-,0
Mb0720_192,0.055,0.049,0.0585,0.005,-,-,-,-,0
Mb0720_193,0.0555,0.053,0.0585,-0.0025,-,-,-,-,0
Mb0722_266,0.095,0.064,0.1105,0.0045,-,-,-,-,0
Mb0722_267,0.0485,0.14,0.0785,-0.0125,-,-,-,-,0
Mb0727_285,0.047,0.0945,0.0985,-0.01,-,-,-,-,0
Mb0727_286,0.0565,0.049,0.0535,0,-,-,-,-,0
Mb0727_287,0.051,0.0575,0.057,-0.0035,-,-,-,-,0
Mb0739_281,0.0515,0.085,0.074,0.0035,-,-,-,-,0
Mb0741_227,0.2195,0.05,0.0565,-0.001,positive,-,-,-,1
Mb0741_228,0.046,0.0525,0.0605,-0.0025,-,-,-,-,0
Mb0780_202,0.0485,0.0535,0.0575,-0.01,-,-,-,-,0
Mb0780_203,0.265,0.446,0.587,0.0365,positive,positive,positive,-,3
Mb0780_204,0.0735,0.199,0.17,-0.0115,-,positive,positive,-,2
Mb0780_205,0.0475,0.0615,0.0615,-0.007,-,-,-,-,0
Mb0877_250,0.048,0.048,0.0555,0.0005,-,-,-,-,0
Mb1045c_283,0.2715,0.252,0.139,0.0165,positive,positive,-,-,2
Mb1045c_284,0.0465,0.06,0.061,0,-,-,-,-,0
Mb1269_127,0.082,0.0575,0.064,0.0085,-,-,-,-,0
Mb1270_45,0.057,0.1505,0.123,-0.0055,-,-,-,-,0
Mb1270_52,0.044,0.0495,0.052,-0.009,-,-,-,-,0
Mb1271c_110,0.048,0.2305,0.4175,0.006,-,positive,positive,-,2
Mb1271c_137,0.0465,0.1365,0.166,-0.0015,-,-,positive,-,1
Mb1272_257,0.4,0.476,0.19,0.078,positive,positive,positive,-,3
Mb1277c_149,0.0465,0.059,0.0665,-0.012,-,-,-,-,0
Mb1290_59,0.045,0.056,0.0665,-0.0005,-,-,-,-,0
Mb1298c_82,0.0505,0.107,0.483,-0.005,-,-,positive,-,1
Mb1320_187,0.0595,0.0535,0.052,-0.0105,-,-,-,-,0
Mb1328_11,0.051,0.057,0.064,-0.002,-,-,-,-,0
Mb1371_36,0.8265,2.2675,1.445,0.2965,positive,positive,positive,positive,4
Mb1402c_64,0.084,0.051,0.055,-0.003,-,-,-,-,0
Mb1439_97,0.082,0.049,0.065,0.003,-,-,-,-,0
Mb1456_138,0.096,0.1715,0.2325,0.0045,-,positive,positive,-,2
Mb1471_247,0.1,0.064,0.075,-0.0095,-,-,-,-,0
Mb1471_248,0.0465,0.104,0.0745,-0.0055,-,-,-,-,0
Mb1471_249,0.06,0.0505,0.053,-0.011,-,-,-,-,0
Mb1471_96,0.077,0.0495,0.0595,0.0025,-,-,-,-,0
Mb1480c_90,0.048,0.0515,0.0575,-0.0125,-,-,-,-,0
Mb1481c_62,0.0475,0.0815,0.096,-0.011,-,-,-,-,0
Mb1498_25,0.2085,0.682,1.257,0.02,positive,positive,positive,-,3
Mb1506_12,0.056,0.0495,0.0555,0.0055,-,-,-,-,0
Mb1515_259,0.0515,0.1005,0.15,-0.0085,-,-,-,-,0
Mb1515_261,0.415,1.354,0.99,0.1175,positive,positive,positive,positive,4
Mb1515_262,0.0545,0.05,0.06,-0.001,-,-,-,-,0
Mb1520_4,0.119,0.32,0.1995,-0.007,-,positive,positive,-,2
Mb1524_231,0.0465,0.186,0.1295,0.0055,-,positive,-,-,1
Mb1524_232,0.1245,0.263,0.144,0.014,-,positive,-,-,1
Mb1525_229,0.4055,0.9395,0.9785,0.0915,positive,positive,positive,-,3
Mb1538_150,0.232,0.506,0.5755,0.0135,positive,positive,positive,-,3
Mb1558_32,0.131,0.052,0.076,0.008,-,-,-,-,0
Mb1570_113,0.0655,0.0525,0.0565,0.007,-,-,-,-,0
